#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.6063E-04 2.6063E-04  -1.80   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 215  0.788423  3.7229  2.8182  1.3614  3.0232  1.8803  1.3615  1.1721  1.0868
 216  0.788520  3.7222  2.7943  1.3826  2.9790  1.8305  1.3091  1.1184  1.0324
 217  0.788540  3.7220  2.7890  1.3871  2.9704  1.8201  1.2980  1.1070  1.0206
 218  0.788561  3.7219  2.7840  1.3916  2.9608  1.8094  1.2868  1.0955  1.0090
 219  0.788581  3.7217  2.7790  1.3962  2.9508  1.7985  1.2754  1.0840  0.9973
 220  0.788600  3.7216  2.7738  1.4007  2.9410  1.7876  1.2640  1.0724  0.9855
 221  0.788620  3.7215  2.7687  1.4053  2.9315  1.7767  1.2527  1.0607  0.9737
 222  0.788640  3.7213  2.7635  1.4100  2.9219  1.7660  1.2412  1.0491  0.9618
 223  0.788659  3.7212  2.7583  1.4146  2.9124  1.7552  1.2297  1.0374  0.9499
 224  0.788679  3.7210  2.7529  1.4193  2.9032  1.7444  1.2183  1.0255  0.9378
 225  0.788699  3.7208  2.7476  1.4239  2.8937  1.7335  1.2067  1.0136  0.9257
 226  0.788718  3.7207  2.7423  1.4287  2.8840  1.7225  1.1951  1.0017  0.9136
 227  0.788889  3.7193  2.6928  1.4727  2.7931  1.6192  1.0860  0.8901  0.8002
 228  0.789047  3.7178  2.6431  1.5166  2.7035  1.5170  0.9774  0.7788  0.6870
 229  0.789189  3.7164  2.5940  1.5600  2.6148  1.4157  0.8700  0.6687  0.5749
 230  0.789326  3.7149  2.5428  1.6054  2.5220  1.3098  0.7578  0.5538  0.4580
 231  0.789454  3.7133  2.4901  1.6516  2.4304  1.2033  0.6443  0.4373  0.3392
 232  0.789562  3.7116  2.4408  1.6946  2.3460  1.1043  0.5388  0.3288  0.2286
 233  0.789668  3.7099  2.3886  1.7399  2.2577  1.0002  0.4275  0.2145  0.1118
 234  0.789759  3.7082  2.3380  1.7835  2.1749  0.9011  0.3211  0.1048 -0.0002
 235  0.789848  3.7062  2.2835  1.8302  2.0887  0.7960  0.2074 -0.0125 -0.1204
 236  0.789925  3.7042  2.2299  1.8761  2.0046  0.6932  0.0959 -0.1278 -0.2385
 237  0.789995  3.7025  2.1815  1.9177  1.9277  0.5999 -0.0055 -0.2326 -0.3458
 238  0.790062  3.7009  2.1338  1.9586  1.8529  0.5086 -0.1053 -0.3358 -0.4515
 239  0.790121  3.6993  2.0897  1.9965  1.7842  0.4241 -0.1978 -0.4316 -0.5497
